filename,object_id,clase_real,contour_index,area,perimeter,area_norm,perimeter_norm,aspect_ratio,extent,solidity,circularity,num_holes,hole_area_ratio,num_vertices_rdp,vertices_perimeter_ratio,hu1,hu2,hu3,hu4,hu5,hu6
tornillo06.jpg,0,tornillo,70,6588.5,1580.9271770715714,0.025133132934570312,3.087748392717913,3.1428155213596205,0.17781766166468746,0.4991287878787879,0.03312628116560952,0,0.0,4,0.0025301608182923363,0.11510173360278766,0.26663237781188265,1.970080621440058,2.3190238609438643,4.463635968982375,2.452616247148136
tornillo07.jpg,0,tornillo,57,6519.0,1712.2236413955688,0.024868011474609375,3.3441867996007204,3.646980401227436,0.15828962703962704,0.5304312449145647,0.02794279641409003,0,0.0,5,0.0029201792798075657,0.13515334800360784,0.30163744368800177,2.3835527516334127,2.6558769794970107,5.1756452389387855,2.80682557391519
tornillo08.jpg,0,tornillo,53,6346.5,1807.6622405052185,0.024209976196289062,3.530590313486755,3.4598000675481404,0.1746999559568377,0.5064639693559971,0.024406728818686673,0,0.0,7,0.0038724048349007886,0.1264312840026219,0.28164548789850224,2.5691487056641398,2.9609399873946267,5.7424042942922435,3.1625805065899844
tornillo10.jpg,0,tornillo,106,20935.0,3144.5406461954117,0.07986068725585938,6.141680949600413,3.7707366696548106,0.19634416266506602,0.5668525939564605,0.02660531490687163,0,0.0,5,0.0015900573605399293,0.10003905774681093,0.23561996437126337,1.5944793185453578,1.8153987894862147,3.5203380520599565,1.9332098802887454
tornillo11.jpg,0,tornillo,122,20584.5,2900.651257634163,0.07852363586425781,5.665334487566724,3.7442798008602285,0.17828869872505543,0.5592778253250194,0.030743913681619845,0,0.0,6,0.0020685009906684666,0.08692234805589043,0.2072414401128238,1.5679676697302667,1.7783504522299733,3.4515661578372367,1.8823038726741892
tornillo12.jpg,0,tornillo,105,21301.0,2957.8644610643387,0.08125686645507812,5.7770790255162865,3.7341668871311025,0.19139052616446234,0.5674214171550346,0.030595201494124813,0,0.0,6,0.002028490513673165,0.09097706880965656,0.21544271285386385,1.5651372441520708,1.7668579381667742,3.4328569567811567,1.8745912270391591
tornillo13.jpg,0,tornillo,63,11758.0,2034.7820771932602,0.04485321044921875,3.9741837445180863,2.844384349652884,0.24495833333333333,0.6095702213696925,0.03568679225113239,0,0.0,6,0.002948718718948167,0.28186297261708065,0.6364227747786241,2.019891973599062,2.3921630969302834,4.5981907272232885,2.7103954222274815
tornillo14.jpg,0,tornillo,58,11828.5,1918.0886449813843,0.04512214660644531,3.746266884729266,2.7508379190315346,0.24447131283068782,0.6210816487266999,0.04040193722957444,0,0.0,8,0.00417081870586729,0.302811490468884,0.6778597281947198,2.1393514610092557,2.4724580430517373,4.778866531925412,2.8134595902767754
tornillo15.jpg,0,tornillo,80,11996.5,2048.3973013162613,0.04576301574707031,4.000775979133323,2.7298350983898167,0.28400804924242423,0.5994203912359157,0.03592824738202208,0,0.0,5,0.0024409327217855123,0.28621434079710356,0.6474509339549538,1.9459520268469364,2.287621571801187,4.4044554102456726,2.611384901248962
tornillo16.jpg,0,tornillo,56,12114.5,1869.3190923929214,0.04621315002441406,3.6510138523299247,2.894970608088566,0.2544207829301075,0.620778888034845,0.043566079025411875,0,0.0,8,0.004279633173680997,0.2940882619435043,0.6634222758314339,1.9988720547404089,2.3411391508581403,4.5111588690413384,2.6728740401886135
tornillo17.jpg,0,tornillo,112,27451.0,3148.256376028061,0.10471725463867188,6.1489382344298065,3.8006406821560303,0.21297014647467727,0.6133205237052594,0.034803895069731215,1,0.0059924957196459145,7,0.002223452973303089,0.14183856880193993,0.3180281917308573,2.0954607852306664,2.3428064052795485,4.561940295104257,2.5018205336361654
tornillo18.jpg,0,tornillo,109,27026.0,3420.305145382881,0.10309600830078125,6.68028348707594,3.756107817236948,0.20822546844181458,0.6253919402052551,0.029030995536116166,0,0.0,5,0.0014618578715848121,0.15128034930866732,0.33517024215627683,2.3830668556426513,2.6666179127381553,5.193473860926381,2.843564479182481
tornillo19.jpg,0,tornillo,105,26670.0,3501.3000940084457,0.10173797607421875,6.838476746110246,3.7509599030568253,0.1977782392026578,0.6173182417887647,0.027338470204658783,1,0.005924259467566554,5,0.0014280409749955981,0.14058469976283902,0.3146375722884703,2.2745642413235014,2.5690432124101754,4.990847112853338,2.7263625823898066
tornillo20.jpg,0,tornillo,104,27160.0,3224.599522471428,0.103607177734375,6.298045942327008,3.753975924464992,0.20650851581508517,0.6158730158730159,0.032823739628046814,0,0.0,7,0.0021708122051184186,0.14110123694478513,0.3161028363084103,2.2396962763025825,2.516453158943616,4.894597103807674,2.6748305686225846
tornillo21.jpg,0,tornillo,49,7959.0,1501.4297032356262,0.030361175537109375,2.9324798891320825,2.257819265395091,0.236875,0.5708240694255182,0.044366826154174595,0,0.0,8,0.005328254784596148,0.33643084881682467,0.7888825460444263,1.8309590297472451,2.3116739021772585,4.382992225158704,2.7063163672448924
tornillo22.jpg,0,tornillo,61,8374.5,1500.2164998054504,0.03194618225097656,2.9301103511825204,2.44516129350854,0.2738912872841444,0.6138987647985925,0.0467585328348851,0,0.0,8,0.005332563667335646,0.3481841976808999,0.8149779875028497,1.8490217478665862,2.297217296904924,4.370401206840167,2.704782051204656
tornillo23.jpg,0,tornillo,56,8102.0,1527.0032979249954,0.03090667724609375,2.9824283162597567,2.3102080016990865,0.3767671130952381,0.5887439595974276,0.043663862713300985,0,0.0,8,0.005239019464379015,0.3459279472921718,0.8040252659038589,1.9363536245540984,2.4136751913982777,4.58875364113883,2.815738624017465
tornillo24.jpg,0,tornillo,59,7983.5,1466.074364900589,0.030454635620117188,2.863426493946463,2.433273377155708,0.3080054012345679,0.5911733125995039,0.04667573803960511,0,0.0,8,0.005456749119641322,0.3395813687215859,0.792852920420883,1.8505770157288481,2.3138569517231558,4.396699707067072,2.711043425456112
tornillo25.jpg,0,tornillo,82,23536.5,2298.3871964216232,0.08978462219238281,4.489037493010983,1.7118111963638818,0.3927987316421896,0.6869864713007691,0.055989341295836534,0,0.0,7,0.003045613903043993,0.5179333152686794,1.3033614300557388,2.244007358588405,3.047177355524415,5.692818689104437,3.6990007872310144
